iter	RMSE
0	160.0799965
1	122.1073283
2	93.64534712
3	72.84048098
4	56.9954578
5	45.32290637
6	36.35897111
7	29.91114261
8	24.98934227
9	21.51411344
10	18.8305589
11	16.79120379
12	15.25697293
13	14.1075144
14	13.05662867
15	12.44419835
16	11.91707308
17	11.41986485
18	11.02700643
19	10.55838237
20	10.14691806
21	9.831298603
22	9.573817824
23	9.383618869
24	9.172046896
25	8.97772541
26	8.716712127
27	8.485859107
28	8.278384882
29	8.13702476
30	7.999699176
31	7.82196777
32	7.626337709
33	7.410745843
34	7.286502887
35	7.11222319
36	6.969632925
37	6.770391297
38	6.638052473
39	6.539726809
40	6.411807441
41	6.238443691
42	6.15262953
43	6.048341144
44	5.936206911
45	5.882024773
46	5.791038997
47	5.692165348
48	5.568231011
49	5.502642065
50	5.405948572
51	5.299197894
52	5.240811824
53	5.198727937
54	5.14839345
55	5.100101482
56	5.019621529
57	4.949380135
58	4.847076074
59	4.774644483
60	4.73434012
61	4.695261136
62	4.645540776
63	4.558943535
64	4.477834476
65	4.459267325
66	4.41490691
67	4.320171077
68	4.244420693
69	4.154190354
70	4.099539877
71	4.058554605
72	4.039430318
73	3.98084528
74	3.973410594
75	3.943403504
76	3.911809626
77	3.870178272
78	3.859591855
79	3.836393302
80	3.807212634
81	3.799983196
82	3.756551371
83	3.710676509
84	3.70667526
85	3.647311544
86	3.638443247
87	3.603105775
88	3.542216837
89	3.532287511
90	3.500556659
91	3.436664356
92	3.409250096
93	3.37569223
94	3.340058702
95	3.289684194
96	3.239905403
97	3.213718145
98	3.186030878
99	3.139778824
