iter	Passed	Remaining
0	1	169
1	3	154
2	4	149
3	6	149
4	7	147
5	9	144
6	10	141
7	12	139
8	13	138
9	15	137
10	16	135
11	18	134
12	19	132
13	21	130
14	22	128
15	24	126
16	25	125
17	27	123
18	28	121
19	29	119
20	31	117
21	32	116
22	34	115
23	35	113
24	37	112
25	39	111
26	40	109
27	42	108
28	43	106
29	44	104
30	46	103
31	47	101
32	49	100
33	51	99
34	52	97
35	53	95
36	55	94
37	57	93
38	58	91
39	60	90
40	61	88
41	63	87
42	64	85
43	66	84
44	67	82
45	69	81
46	70	80
47	72	78
48	74	77
49	75	75
50	77	74
51	78	72
52	79	70
53	81	69
54	83	68
55	84	66
56	86	64
57	87	63
58	88	61
59	90	60
60	92	58
61	93	57
62	94	55
63	96	54
64	97	52
65	99	51
66	101	49
67	102	48
68	103	46
69	105	45
70	107	43
71	108	42
72	110	40
73	111	39
74	113	37
75	114	36
76	116	34
77	118	33
78	119	31
79	121	30
80	122	28
81	124	27
82	125	25
83	127	24
84	128	22
85	130	21
86	131	19
87	133	18
88	135	16
89	136	15
90	138	13
91	139	12
92	141	10
93	143	9
94	144	7
95	146	6
96	148	4
97	149	3
98	151	1
99	152	0
